run_id,phase,pipeline_name,hit_at_1,hit_at_1_pct,hit_at_3,hit_at_3_pct,hit_at_5,hit_at_5_pct,mrr,natural_hit_at_5,natural_hit_at_5_pct,natural_mrr,canonical_hit_at_5,canonical_hit_at_5_pct,candidate_recall,p50_latency_ms,p95_latency_ms,peak_memory_mb,index_bytes,pareto_frontier,historical_decision
phase_h_h3_combined_specialist_priors,H,synonym_bge_fixed_600_100_combined_specialist_priors,26,42.623,44,72.131,50,81.967,0.601127,16,80.0,0.599464,34,82.927,61,55.507,71.169,688.223,1154982,True,retain
phase_h_h0_visual_caption_context,H,synonym_bge_fixed_600_100_visual_caption_context,23,37.705,44,72.131,50,81.967,0.572327,16,80.0,0.586587,34,82.927,61,28.168,33.739,962.836,501476,True,retain
phase_h_h1_formula_context_activation_v2,H,synonym_bge_fixed_600_100_formula_equation_context,23,37.705,43,70.492,50,81.967,0.571619,16,80.0,0.574464,34,82.927,61,55.19,84.207,678.555,552977,True,retain
phase_h_h0_formula_equation_context,H,synonym_bge_fixed_600_100_formula_equation_context,24,39.344,40,65.574,49,80.328,0.568978,16,80.0,0.592798,33,80.488,61,55.106,75.215,962.836,552977,False,retain
phase_h_h0_table_rows_with_headers,H,synonym_bge_fixed_600_100_table_rows_with_headers,23,37.705,43,70.492,50,81.967,0.567409,16,80.0,0.561587,34,82.927,61,32.164,60.495,962.836,100529,False,retain
phase_h_h0_table_key_value,H,synonym_bge_fixed_600_100_table_key_value,23,37.705,43,70.492,50,81.967,0.564677,16,80.0,0.561587,34,82.927,61,28.851,36.041,962.836,100562,False,reject
phase_h_h2_formula_context_activation_v3,H,synonym_bge_fixed_600_100_formula_equation_context,22,36.066,43,70.492,50,81.967,0.563422,16,80.0,0.574464,34,82.927,61,58.94,83.662,684.094,552977,True,reject
phase_h_h0_table_flattened,H,synonym_bge_fixed_600_100_table_flattened,23,37.705,42,68.852,50,81.967,0.563311,16,80.0,0.561587,34,82.927,61,56.202,107.132,962.836,100520,False,reject
phase_h_h1_table_rows_activation_v2,H,synonym_bge_fixed_600_100_table_rows_with_headers,22,36.066,43,70.492,50,81.967,0.559212,16,80.0,0.561587,34,82.927,61,51.89,74.601,689.668,100529,False,retain
phase_f_f4_bge_small_page_prior_rrf,F,bge_small_fixed_600_100_page_prior_rrf,24,39.344,39,63.934,48,78.689,0.558089,16,80.0,0.511104,32,78.049,61,25.129,30.758,755.844,1313467,True,reject
phase_g_g0_textbook_synonym_expansion,G,g0_textbook_synonym_expansion,21,34.426,43,70.492,50,81.967,0.551015,16,80.0,0.561587,34,82.927,61,38.132,46.684,693.801,504722,True,retain
phase_g_g1_original_plus_textbook_synonym_expansion,G,g1_original_plus_textbook_synonym_expansion,20,32.787,42,68.852,48,78.689,0.528045,16,80.0,0.543403,32,78.049,61,62.209,146.466,673.234,504722,True,retain
phase_f_f2_neighbor_expansion,F,e5_fixed_600_100_neighbor_expansion,19,31.148,33,54.098,49,80.328,0.489535,16,80.0,0.460155,33,80.488,61,160.622,203.217,1814.5,0,False,retain
phase_h_h0_formula_equation_lines,H,synonym_bge_fixed_600_100_formula_equation_lines,21,34.426,39,63.934,47,77.049,0.536473,15,75.0,0.54806,32,78.049,61,61.774,86.223,962.836,553156,False,reject
phase_g_g0_formula_symbol_normalization,G,g0_formula_symbol_normalization,22,36.066,38,62.295,47,77.049,0.529733,15,75.0,0.547321,32,78.049,61,33.666,42.1,700.617,504722,True,retain
phase_g_g1_original_plus_formula_symbol_normalization,G,g1_original_plus_formula_symbol_normalization,22,36.066,37,60.656,45,73.77,0.524091,14,70.0,0.531964,31,75.61,61,52.67,125.037,689.125,504722,False,retain
phase_g_g0_acronym_expansion,G,g0_acronym_expansion,21,34.426,39,63.934,45,73.77,0.521901,14,70.0,0.525099,31,75.61,61,32.994,41.726,697.082,504722,True,retain
phase_f_f2_page_prior_rrf,F,e5_fixed_600_100_page_prior_rrf,18,29.508,42,68.852,48,78.689,0.517533,14,70.0,0.475733,34,82.927,61,161.148,203.645,1814.5,0,False,retain
phase_g_g0_grammar_cleanup,G,g0_grammar_cleanup,20,32.787,39,63.934,45,73.77,0.513886,14,70.0,0.525655,31,75.61,61,35.515,48.423,691.801,504722,True,retain
phase_f_f3_bge_small_fixed_600_100,F,bge_small_fixed_600_100_hybrid_rrf,20,32.787,39,63.934,45,73.77,0.513704,14,70.0,0.525099,31,75.61,61,21.431,28.965,755.418,504722,True,retain
phase_g_g0_raw,G,g0_raw,20,32.787,39,63.934,45,73.77,0.513704,14,70.0,0.525099,31,75.61,61,36.575,43.988,677.859,504722,True,retain
phase_g_g0_spelling_normalization,G,g0_spelling_normalization,20,32.787,39,63.934,45,73.77,0.513704,14,70.0,0.525099,31,75.61,61,36.965,56.429,691.801,504722,False,reject
phase_e_e3_nomic_embed_v1_5_full_fixed_400_80,E,nomic_full_hybrid_rrf,16,26.23,37,60.656,43,70.492,0.460223,14,70.0,0.389435,29,70.732,61,107.086,145.241,2182.887,1554510,False,investigate
phase_e_e4_nomic_embed_v1_5_512_fixed_400_80,E,nomic_512_hybrid_rrf,16,26.23,36,59.016,42,68.852,0.457806,14,70.0,0.398286,28,68.293,61,123.218,148.595,1584.098,1035120,False,investigate
phase_f_f2_query_relevant_windows,F,e5_fixed_600_100_query_relevant_windows,14,22.951,31,50.82,42,68.852,0.409233,14,70.0,0.356112,28,68.293,56,165.61,210.208,1814.5,0,False,reject
phase_f_f2_parent_page_child,F,e5_fixed_600_100_parent_page_child,19,31.148,36,59.016,43,70.492,0.490327,13,65.0,0.422202,30,73.171,60,160.612,203.266,1814.059,0,False,reject
phase_f_f1_e5_fixed_600_100,F,e5_fixed_600_100_hybrid_rrf,19,31.148,36,59.016,43,70.492,0.490204,13,65.0,0.421925,30,73.171,61,221.246,561.907,2100.316,1339481,False,investigate
phase_e_e0_bge_small_fixed_400_80_control,E,bge_small_hybrid_rrf,15,24.59,34,55.738,42,68.852,0.441647,13,65.0,0.390195,29,70.732,61,42.75,53.056,832.113,778972,False,retain
phase_e_e5_e5_large_v2_fixed_400_80,E,e5_large_v2_dense,22,36.066,35,57.377,46,75.41,0.523854,12,60.0,0.400129,34,82.927,61,246.552,455.772,2094.059,2069093,False,investigate
phase_f_f1_e5_fixed_400_80,F,e5_fixed_400_80_dense,22,36.066,35,57.377,46,75.41,0.523854,12,60.0,0.400129,34,82.927,61,238.807,511.702,2151.152,2069093,False,investigate
phase_f_f0_bm25_fixed_600_100,F,bm25_fixed_600_100,20,32.787,38,62.295,45,73.77,0.509037,12,60.0,0.421149,33,80.488,61,0.875,1.784,131.773,0,True,investigate
phase_f_f1_e5_paragraph_groups,F,e5_paragraph_groups_hybrid_rrf,17,27.869,33,54.098,41,67.213,0.44479,12,60.0,0.347084,29,70.732,61,334.73,744.145,2151.152,3251124,False,investigate
phase_f_f0_bm25_fixed_400_80_headings,F,bm25_fixed_400_80_headings,17,27.869,32,52.459,42,68.852,0.455173,11,55.0,0.334804,31,75.61,61,1.161,2.533,131.773,0,False,investigate
phase_f_f0_bm25_fixed_400_80,F,bm25_fixed_400_80,17,27.869,31,50.82,41,67.213,0.449935,11,55.0,0.335008,30,73.171,61,1.186,2.465,130.816,0,True,investigate
phase_e_e1_bge_m3_dense_fixed_400_80,E,bge_m3_dense_dense,16,26.23,32,52.459,42,68.852,0.446832,11,55.0,0.358748,31,75.61,61,167.3,219.745,2374.156,2073160,False,investigate
phase_e_e2_bge_m3_sparse_and_fusion_fixed_400_80,E,bge_m3_sparse,17,27.869,33,54.098,42,68.852,0.463807,10,50.0,0.3542,32,78.049,61,596.597,719.059,2366.531,3162876,False,investigate
phase_f_f0_bm25_paragraph_groups,F,bm25_paragraph_groups,13,21.311,26,42.623,37,60.656,0.365701,10,50.0,0.305177,27,65.854,61,1.566,3.246,131.773,0,False,investigate
phase_f_f0_bm25_fixed_300_50,F,bm25_fixed_300_50,14,22.951,26,42.623,38,62.295,0.382341,9,45.0,0.26501,29,70.732,61,1.435,3.834,107.93,0,True,investigate
phase_f_f0_bm25_section_aware,F,bm25_section_aware,11,18.033,27,44.262,37,60.656,0.361999,9,45.0,0.303971,28,68.293,61,1.152,2.389,132.82,0,False,investigate
