run_id,model,split,evaluation_mode,prompt,context,required_point_coverage,citation_validity,unsupported_claim_rate,formula_accuracy,structured_output_rate,p50_latency_seconds,p95_latency_seconds,mean_tokens_per_second,decision
qwen3_8b_q4_k_m__development__gold__P0__gold_separate_full__12c0a0fcce,qwen3_8b_q4_k_m,development,gold,P0,gold_separate_full,0.3969,1.0,0.125,,1.0,59.0537,104.3732,3.6353,pending_review
qwen3_8b_q4_k_m__development__gold__P1__gold_separate_full__a721a87e90,qwen3_8b_q4_k_m,development,gold,P1,gold_separate_full,0.3937,1.0,0.0625,0.0,1.0,81.3529,126.8087,2.9163,pending_review
qwen3_8b_q4_k_m__development__gold__P2__gold_separate_full__14a86d960a,qwen3_8b_q4_k_m,development,gold,P2,gold_separate_full,0.4062,1.0,0.125,0.0,1.0,101.453,136.3584,2.5841,pending_review
qwen3_8b_q4_k_m__development__gold__P3__gold_separate_full__f7c64b7670,qwen3_8b_q4_k_m,development,gold,P3,gold_separate_full,0.3531,0.9375,0.125,0.0,1.0,61.9738,89.3685,3.3431,pending_review
qwen3_8b_q4_k_m__development__retrieved__P1__retrieved_top3_separate_compact__4afd830383,qwen3_8b_q4_k_m,development,retrieved,P1,retrieved_top3_separate_compact,0.4406,0.9375,0.125,0.0,1.0,124.3203,149.4311,2.0673,pending_review
qwen3_8b_q4_k_m__development__retrieved__P1__retrieved_top5_separate_compact__65a6a0ac5b,qwen3_8b_q4_k_m,development,retrieved,P1,retrieved_top5_separate_compact,0.4469,0.875,0.0625,0.0,0.875,202.0248,262.7315,1.2499,pending_review
qwen3_8b_q4_k_m__development__retrieved__P1__retrieved_top5_page_order_compact__684f17db77,qwen3_8b_q4_k_m,development,retrieved,P1,retrieved_top5_page_order_compact,0.4406,0.9375,0.0625,0.2,1.0,206.444,253.9736,1.1938,pending_review
qwen3_8b_q4_k_m__development__retrieved__P1__retrieved_top5_merged_compact__4d27f3a2a3,qwen3_8b_q4_k_m,development,retrieved,P1,retrieved_top5_merged_compact,0.4437,0.8125,0.1875,0.2,0.8125,177.0214,216.0422,1.316,pending_review
qwen3_8b_q4_k_m__development__retrieved__P1__retrieved_top5_separate_full__29ac243384,qwen3_8b_q4_k_m,development,retrieved,P1,retrieved_top5_separate_full,0.4625,0.8125,0.0625,0.2,0.875,215.4992,300.1016,1.1508,pending_review
qwen3_8b_q4_k_m__development__retrieved__P1__retrieved_top5_page_order_compact__25af36c369,qwen3_8b_q4_k_m,development,retrieved,P1,retrieved_top5_page_order_compact,0.3906,0.8125,0.0,0.2,0.875,207.3758,255.8453,1.2472,pending_review
qwen3_8b_q4_k_m__smoke__retrieved__P1__retrieved_top5_page_order_compact__38e721bca4,qwen3_8b_q4_k_m,smoke,retrieved,P1,retrieved_top5_page_order_compact,0.0,0.0,0.0,0.0,0.0,230.0963,242.6844,1.6988,pending_review
qwen3_8b_q4_k_m__development__retrieved__P1__retrieved_top5_page_order_compact__100467aa40,qwen3_8b_q4_k_m,development,retrieved,P1,retrieved_top5_page_order_compact,0.2812,0.5,0.0,0.2,0.5625,183.4643,207.9715,1.2074,pending_review
qwen3_8b_q4_k_m__development__retrieved__P1__retrieved_top5_page_order_compact__937c556831,qwen3_8b_q4_k_m,development,retrieved,P1,retrieved_top5_page_order_compact,0.4406,0.9375,0.0625,0.2,1.0,221.3368,313.7992,0.6387,pending_review
qwen3_14b_q4_k_m__smoke__retrieved__P1__retrieved_top5_page_order_compact__80aeeb36e7,qwen3_14b_q4_k_m,smoke,retrieved,P1,retrieved_top5_page_order_compact,0.6771,1.0,0.25,0.3333,1.0,346.7502,404.5955,0.7489,pending_review
qwen3_14b_q4_k_m__development__retrieved__P1__retrieved_top5_page_order_compact__57946003e1,qwen3_14b_q4_k_m,development,retrieved,P1,retrieved_top5_page_order_compact,0.399,0.75,0.0625,0.2,0.8125,372.9018,519.017,0.669,pending_review
