
=== llama-server session started 2026-07-17T09:52:42+00:00 ===
0.00.052.209 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.052.314 I srv          init: The UI is disabled
0.00.052.315 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.052.465 W srv  llama_server: -----------------
0.00.052.467 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.052.467 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.052.467 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.052.467 W srv  llama_server: -----------------
0.00.058.636 I srv    load_model: loading model 'X:\models\TeachingAssistantV2\Qwen3-14B\Qwen3-14B-Q4_K_M.gguf'
0.00.677.784 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.11.529.343 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.11.538.175 I srv  llama_server: model loaded
0.11.538.184 I srv  llama_server: listening on http://127.0.0.1:18092
0.11.769.621 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.11.769.669 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.32.138.629 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    512, progress = 0.11, t =  20.37 s / 25.14 tokens per second
1.15.163.660 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1024, progress = 0.23, t =  63.39 s / 16.15 tokens per second
1.49.287.759 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1536, progress = 0.34, t =  97.52 s / 15.75 tokens per second
2.29.039.757 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.45, t = 137.27 s / 14.92 tokens per second
3.13.428.922 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2560, progress = 0.56, t = 181.66 s / 14.09 tokens per second
3.49.677.124 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3072, progress = 0.68, t = 217.91 s / 14.10 tokens per second
4.33.940.697 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3584, progress = 0.79, t = 262.17 s / 13.67 tokens per second
5.16.412.602 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.90, t = 304.64 s / 13.45 tokens per second
6.51.366.917 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =   2.08 t/s, tg_3s =   2.08 t/s
6.54.716.438 I slot print_timing: id  0 | task 0 | n_decoded =    105, tg =   2.05 t/s, tg_3s =   1.49 t/s
6.57.910.598 I slot print_timing: id  0 | task 0 | n_decoded =    110, tg =   2.02 t/s, tg_3s =   1.57 t/s
7.00.940.202 I slot print_timing: id  0 | task 0 | n_decoded =    115, tg =   2.00 t/s, tg_3s =   1.65 t/s
7.04.545.538 I slot print_timing: id  0 | task 0 | n_decoded =    121, tg =   1.98 t/s, tg_3s =   1.66 t/s
7.07.547.908 I slot print_timing: id  0 | task 0 | n_decoded =    126, tg =   1.96 t/s, tg_3s =   1.67 t/s
7.10.931.771 I slot print_timing: id  0 | task 0 | n_decoded =    130, tg =   1.92 t/s, tg_3s =   1.18 t/s
7.14.300.775 I slot print_timing: id  0 | task 0 | n_decoded =    137, tg =   1.93 t/s, tg_3s =   2.08 t/s
7.17.687.323 I slot print_timing: id  0 | task 0 | n_decoded =    144, tg =   1.94 t/s, tg_3s =   2.07 t/s
7.21.013.626 I slot print_timing: id  0 | task 0 | n_decoded =    151, tg =   1.95 t/s, tg_3s =   2.10 t/s
7.24.448.038 I slot print_timing: id  0 | task 0 | n_decoded =    158, tg =   1.95 t/s, tg_3s =   2.04 t/s
7.27.773.313 I slot print_timing: id  0 | task 0 | n_decoded =    165, tg =   1.96 t/s, tg_3s =   2.11 t/s
7.31.127.437 I slot print_timing: id  0 | task 0 | n_decoded =    172, tg =   1.96 t/s, tg_3s =   2.09 t/s
7.34.214.950 I slot print_timing: id  0 | task 0 | n_decoded =    178, tg =   1.96 t/s, tg_3s =   1.94 t/s
7.37.641.464 I slot print_timing: id  0 | task 0 | n_decoded =    185, tg =   1.96 t/s, tg_3s =   2.04 t/s
7.40.732.923 I slot print_timing: id  0 | task 0 | n_decoded =    191, tg =   1.96 t/s, tg_3s =   1.94 t/s
7.44.149.015 I slot print_timing: id  0 | task 0 | n_decoded =    198, tg =   1.96 t/s, tg_3s =   2.05 t/s
7.47.582.707 I slot print_timing: id  0 | task 0 | n_decoded =    205, tg =   1.97 t/s, tg_3s =   2.04 t/s
7.50.960.967 I slot print_timing: id  0 | task 0 | n_decoded =    212, tg =   1.97 t/s, tg_3s =   2.07 t/s
7.51.436.132 I slot print_timing: id  0 | task 0 | prompt eval time =  351614.13 ms /  4548 tokens (   77.31 ms per token,    12.93 tokens per second)
7.51.436.140 I slot print_timing: id  0 | task 0 |        eval time =  108052.28 ms /   213 tokens (  507.29 ms per token,     1.97 tokens per second)
7.51.436.141 I slot print_timing: id  0 | task 0 |       total time =  459666.41 ms /  4761 tokens
7.51.436.143 I slot print_timing: id  0 | task 0 |    graphs reused =        211
7.51.436.673 I slot      release: id  0 | task 0 | stop processing: n_tokens = 4760, truncated = 0
7.51.609.095 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 471386479
7.51.807.421 I slot launch_slot_: id  0 | task 222 | processing task, is_child = 0
8.18.998.027 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =    512, progress = 0.14, t =  27.19 s / 18.83 tokens per second
8.51.145.115 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   1024, progress = 0.25, t =  59.34 s / 17.26 tokens per second
9.26.219.105 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   1536, progress = 0.36, t =  94.41 s / 16.27 tokens per second
10.13.576.254 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   2048, progress = 0.47, t = 141.77 s / 14.45 tokens per second
10.50.751.986 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   2560, progress = 0.58, t = 178.94 s / 14.31 tokens per second
11.24.650.989 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   3072, progress = 0.69, t = 212.84 s / 14.43 tokens per second
12.08.484.986 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   3584, progress = 0.80, t = 256.68 s / 13.96 tokens per second
12.45.921.625 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   4096, progress = 0.91, t = 294.11 s / 13.93 tokens per second
14.07.203.096 I slot print_timing: id  0 | task 222 | n_decoded =    100, tg =   2.09 t/s, tg_3s =   2.09 t/s
14.10.516.052 I slot print_timing: id  0 | task 222 | n_decoded =    107, tg =   2.10 t/s, tg_3s =   2.11 t/s
14.13.543.191 I slot print_timing: id  0 | task 222 | n_decoded =    113, tg =   2.09 t/s, tg_3s =   1.98 t/s
14.16.547.656 I slot print_timing: id  0 | task 222 | n_decoded =    119, tg =   2.08 t/s, tg_3s =   2.00 t/s
14.19.630.263 I slot print_timing: id  0 | task 222 | n_decoded =    125, tg =   2.08 t/s, tg_3s =   1.95 t/s
14.22.972.251 I slot print_timing: id  0 | task 222 | n_decoded =    132, tg =   2.08 t/s, tg_3s =   2.09 t/s
14.26.333.421 I slot print_timing: id  0 | task 222 | n_decoded =    139, tg =   2.08 t/s, tg_3s =   2.08 t/s
14.29.684.213 I slot print_timing: id  0 | task 222 | n_decoded =    146, tg =   2.08 t/s, tg_3s =   2.09 t/s
14.32.736.594 I slot print_timing: id  0 | task 222 | n_decoded =    152, tg =   2.07 t/s, tg_3s =   1.97 t/s
14.35.798.959 I slot print_timing: id  0 | task 222 | n_decoded =    158, tg =   2.07 t/s, tg_3s =   1.96 t/s
14.39.143.506 I slot print_timing: id  0 | task 222 | n_decoded =    165, tg =   2.07 t/s, tg_3s =   2.09 t/s
14.42.180.978 I slot print_timing: id  0 | task 222 | n_decoded =    171, tg =   2.07 t/s, tg_3s =   1.98 t/s
14.45.627.711 I slot print_timing: id  0 | task 222 | n_decoded =    178, tg =   2.07 t/s, tg_3s =   2.03 t/s
14.46.123.801 I slot print_timing: id  0 | task 222 | prompt eval time =  327634.70 ms /  4531 tokens (   72.31 ms per token,    13.83 tokens per second)
14.46.123.810 I slot print_timing: id  0 | task 222 |        eval time =   86681.58 ms /   179 tokens (  484.25 ms per token,     2.07 tokens per second)
14.46.123.812 I slot print_timing: id  0 | task 222 |       total time =  414316.28 ms /  4710 tokens
14.46.123.813 I slot print_timing: id  0 | task 222 |    graphs reused =        388
14.46.124.559 I slot      release: id  0 | task 222 | stop processing: n_tokens = 4834, truncated = 0
14.46.277.878 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 886074370
14.46.472.409 I slot launch_slot_: id  0 | task 410 | processing task, is_child = 0
15.07.736.568 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =    512, progress = 0.13, t =  21.26 s / 24.08 tokens per second
15.42.938.736 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =   1024, progress = 0.24, t =  56.47 s / 18.13 tokens per second
16.08.957.525 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =   1536, progress = 0.36, t =  82.49 s / 18.62 tokens per second
