
=== llama-server session started 2026-07-17T08:02:46+00:00 ===
0.00.074.300 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.074.424 I srv          init: The UI is disabled
0.00.074.429 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.074.555 W srv  llama_server: -----------------
0.00.074.559 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.074.560 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.074.560 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.074.560 W srv  llama_server: -----------------
0.00.080.434 I srv    load_model: loading model 'X:\models\TeachingAssistantV2\Qwen3-14B\Qwen3-14B-Q4_K_M.gguf'
0.00.565.588 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.13.587.300 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.13.595.770 I srv  llama_server: model loaded
0.13.595.779 I srv  llama_server: listening on http://127.0.0.1:18092
0.13.955.444 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.13.955.548 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.26.331.362 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    512, progress = 0.11, t =  12.38 s / 41.37 tokens per second
0.42.677.637 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1024, progress = 0.23, t =  28.72 s / 35.65 tokens per second
1.00.247.709 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1536, progress = 0.34, t =  46.29 s / 33.18 tokens per second
1.44.904.383 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.45, t =  90.95 s / 22.52 tokens per second
2.03.440.325 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2560, progress = 0.56, t = 109.48 s / 23.38 tokens per second
2.40.265.403 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3072, progress = 0.68, t = 146.31 s / 21.00 tokens per second
3.15.950.758 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3584, progress = 0.79, t = 182.00 s / 19.69 tokens per second
3.48.483.445 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.90, t = 214.53 s / 19.09 tokens per second
5.11.360.728 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =   2.25 t/s, tg_3s =   2.25 t/s
5.14.577.878 I slot print_timing: id  0 | task 0 | n_decoded =    107, tg =   2.25 t/s, tg_3s =   2.18 t/s
5.17.761.958 I slot print_timing: id  0 | task 0 | n_decoded =    114, tg =   2.24 t/s, tg_3s =   2.20 t/s
5.21.141.072 I slot print_timing: id  0 | task 0 | n_decoded =    121, tg =   2.23 t/s, tg_3s =   2.07 t/s
5.24.327.013 I slot print_timing: id  0 | task 0 | n_decoded =    128, tg =   2.23 t/s, tg_3s =   2.20 t/s
5.27.530.655 I slot print_timing: id  0 | task 0 | n_decoded =    135, tg =   2.23 t/s, tg_3s =   2.19 t/s
5.30.760.409 I slot print_timing: id  0 | task 0 | n_decoded =    142, tg =   2.22 t/s, tg_3s =   2.17 t/s
5.33.967.237 I slot print_timing: id  0 | task 0 | n_decoded =    149, tg =   2.22 t/s, tg_3s =   2.18 t/s
5.37.204.596 I slot print_timing: id  0 | task 0 | n_decoded =    156, tg =   2.22 t/s, tg_3s =   2.16 t/s
5.40.588.064 I slot print_timing: id  0 | task 0 | n_decoded =    163, tg =   2.21 t/s, tg_3s =   2.07 t/s
5.43.912.143 I slot print_timing: id  0 | task 0 | n_decoded =    170, tg =   2.21 t/s, tg_3s =   2.11 t/s
5.47.121.505 I slot print_timing: id  0 | task 0 | n_decoded =    177, tg =   2.21 t/s, tg_3s =   2.18 t/s
5.50.363.718 I slot print_timing: id  0 | task 0 | n_decoded =    184, tg =   2.21 t/s, tg_3s =   2.16 t/s
5.53.711.546 I slot print_timing: id  0 | task 0 | n_decoded =    191, tg =   2.20 t/s, tg_3s =   2.09 t/s
5.56.993.324 I slot print_timing: id  0 | task 0 | n_decoded =    198, tg =   2.20 t/s, tg_3s =   2.13 t/s
6.00.254.308 I slot print_timing: id  0 | task 0 | n_decoded =    205, tg =   2.20 t/s, tg_3s =   2.15 t/s
6.03.541.294 I slot print_timing: id  0 | task 0 | n_decoded =    212, tg =   2.19 t/s, tg_3s =   2.13 t/s
6.04.033.933 I slot print_timing: id  0 | task 0 | prompt eval time =  252961.83 ms /  4548 tokens (   55.62 ms per token,    17.98 tokens per second)
6.04.033.943 I slot print_timing: id  0 | task 0 |        eval time =   97116.49 ms /   213 tokens (  455.95 ms per token,     2.19 tokens per second)
6.04.033.945 I slot print_timing: id  0 | task 0 |       total time =  350078.33 ms /  4761 tokens
6.04.033.946 I slot print_timing: id  0 | task 0 |    graphs reused =        211
6.04.034.190 I slot      release: id  0 | task 0 | stop processing: n_tokens = 4760, truncated = 0
6.04.134.350 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 363961838
6.04.291.270 I slot launch_slot_: id  0 | task 222 | processing task, is_child = 0
6.22.593.007 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =    512, progress = 0.14, t =  18.30 s / 27.98 tokens per second
6.42.739.015 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   1024, progress = 0.25, t =  38.45 s / 26.63 tokens per second
7.09.070.597 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   1536, progress = 0.36, t =  64.78 s / 23.71 tokens per second
7.49.945.272 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   2048, progress = 0.47, t = 105.65 s / 19.38 tokens per second
8.15.923.508 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   2560, progress = 0.58, t = 131.63 s / 19.45 tokens per second
8.44.776.328 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   3072, progress = 0.69, t = 160.49 s / 19.14 tokens per second
9.12.963.685 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   3584, progress = 0.80, t = 188.67 s / 19.00 tokens per second
9.42.002.584 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   4096, progress = 0.91, t = 217.71 s / 18.81 tokens per second
10.55.785.364 I slot print_timing: id  0 | task 222 | n_decoded =    100, tg =   2.19 t/s, tg_3s =   2.19 t/s
10.59.011.351 I slot print_timing: id  0 | task 222 | n_decoded =    107, tg =   2.19 t/s, tg_3s =   2.17 t/s
11.02.258.949 I slot print_timing: id  0 | task 222 | n_decoded =    114, tg =   2.19 t/s, tg_3s =   2.16 t/s
11.05.564.313 I slot print_timing: id  0 | task 222 | n_decoded =    121, tg =   2.19 t/s, tg_3s =   2.12 t/s
11.08.816.840 I slot print_timing: id  0 | task 222 | n_decoded =    128, tg =   2.18 t/s, tg_3s =   2.15 t/s
11.11.951.217 I slot print_timing: id  0 | task 222 | n_decoded =    137, tg =   2.22 t/s, tg_3s =   2.87 t/s
11.15.004.142 I slot print_timing: id  0 | task 222 | n_decoded =    148, tg =   2.28 t/s, tg_3s =   3.60 t/s
11.18.070.882 I slot print_timing: id  0 | task 222 | n_decoded =    155, tg =   2.28 t/s, tg_3s =   2.28 t/s
11.21.411.477 I slot print_timing: id  0 | task 222 | n_decoded =    162, tg =   2.28 t/s, tg_3s =   2.10 t/s
11.24.748.455 I slot print_timing: id  0 | task 222 | n_decoded =    169, tg =   2.27 t/s, tg_3s =   2.10 t/s
11.28.143.635 I slot print_timing: id  0 | task 222 | n_decoded =    176, tg =   2.26 t/s, tg_3s =   2.06 t/s
11.29.565.361 I slot print_timing: id  0 | task 222 | prompt eval time =  245930.17 ms /  4531 tokens (   54.28 ms per token,    18.42 tokens per second)
11.29.565.372 I slot print_timing: id  0 | task 222 |        eval time =   79343.86 ms /   179 tokens (  443.26 ms per token,     2.26 tokens per second)
11.29.565.373 I slot print_timing: id  0 | task 222 |       total time =  325274.03 ms /  4710 tokens
11.29.565.374 I slot print_timing: id  0 | task 222 |    graphs reused =        388
11.29.565.628 I slot      release: id  0 | task 222 | stop processing: n_tokens = 4834, truncated = 0
11.29.687.640 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 689493277
11.29.842.025 I slot launch_slot_: id  0 | task 410 | processing task, is_child = 0
11.45.294.905 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =    512, progress = 0.13, t =  15.45 s / 33.13 tokens per second
12.12.008.514 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =   1024, progress = 0.24, t =  42.17 s / 24.28 tokens per second
12.33.239.230 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =   1536, progress = 0.36, t =  63.40 s / 24.23 tokens per second
12.59.575.872 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =   2048, progress = 0.47, t =  89.73 s / 22.82 tokens per second
13.26.630.567 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =   2560, progress = 0.59, t = 116.79 s / 21.92 tokens per second
13.53.769.468 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =   3072, progress = 0.70, t = 143.93 s / 21.34 tokens per second
14.23.026.137 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =   3584, progress = 0.82, t = 173.18 s / 20.69 tokens per second
14.50.574.645 I slot print_timing: id  0 | task 410 | prompt processing, n_tokens =   4096, progress = 0.93, t = 200.73 s / 20.41 tokens per second
15.58.884.904 I slot print_timing: id  0 | task 410 | n_decoded =    100, tg =   2.25 t/s, tg_3s =   2.25 t/s
16.02.044.198 I slot print_timing: id  0 | task 410 | n_decoded =    107, tg =   2.25 t/s, tg_3s =   2.22 t/s
16.05.293.274 I slot print_timing: id  0 | task 410 | n_decoded =    114, tg =   2.24 t/s, tg_3s =   2.15 t/s
16.08.532.853 I slot print_timing: id  0 | task 410 | n_decoded =    121, tg =   2.24 t/s, tg_3s =   2.16 t/s
16.11.664.174 I slot print_timing: id  0 | task 410 | n_decoded =    128, tg =   2.24 t/s, tg_3s =   2.24 t/s
16.14.822.968 I slot print_timing: id  0 | task 410 | n_decoded =    135, tg =   2.24 t/s, tg_3s =   2.22 t/s
16.18.021.965 I slot print_timing: id  0 | task 410 | n_decoded =    142, tg =   2.23 t/s, tg_3s =   2.19 t/s
16.21.174.017 I slot print_timing: id  0 | task 410 | n_decoded =    149, tg =   2.23 t/s, tg_3s =   2.22 t/s
16.24.349.961 I slot print_timing: id  0 | task 410 | n_decoded =    156, tg =   2.23 t/s, tg_3s =   2.20 t/s
16.27.531.524 I slot print_timing: id  0 | task 410 | n_decoded =    163, tg =   2.23 t/s, tg_3s =   2.20 t/s
16.30.694.234 I slot print_timing: id  0 | task 410 | n_decoded =    170, tg =   2.23 t/s, tg_3s =   2.21 t/s
16.33.799.378 I slot print_timing: id  0 | task 410 | n_decoded =    177, tg =   2.23 t/s, tg_3s =   2.25 t/s
16.36.935.642 I slot print_timing: id  0 | task 410 | n_decoded =    184, tg =   2.23 t/s, tg_3s =   2.23 t/s
16.40.183.183 I slot print_timing: id  0 | task 410 | n_decoded =    191, tg =   2.23 t/s, tg_3s =   2.16 t/s
16.43.336.799 I slot print_timing: id  0 | task 410 | n_decoded =    198, tg =   2.23 t/s, tg_3s =   2.22 t/s
16.46.501.819 I slot print_timing: id  0 | task 410 | n_decoded =    205, tg =   2.23 t/s, tg_3s =   2.21 t/s
16.49.653.086 I slot print_timing: id  0 | task 410 | n_decoded =    212, tg =   2.23 t/s, tg_3s =   2.22 t/s
16.52.837.081 I slot print_timing: id  0 | task 410 | n_decoded =    219, tg =   2.23 t/s, tg_3s =   2.20 t/s
16.55.986.866 I slot print_timing: id  0 | task 410 | n_decoded =    226, tg =   2.23 t/s, tg_3s =   2.22 t/s
16.59.143.034 I slot print_timing: id  0 | task 410 | n_decoded =    233, tg =   2.23 t/s, tg_3s =   2.22 t/s
17.02.364.496 I slot print_timing: id  0 | task 410 | n_decoded =    240, tg =   2.22 t/s, tg_3s =   2.17 t/s
17.05.593.950 I slot print_timing: id  0 | task 410 | n_decoded =    247, tg =   2.22 t/s, tg_3s =   2.17 t/s
17.08.779.635 I slot print_timing: id  0 | task 410 | n_decoded =    254, tg =   2.22 t/s, tg_3s =   2.20 t/s
17.09.687.319 I slot print_timing: id  0 | task 410 | prompt eval time =  224635.85 ms /  4390 tokens (   51.17 ms per token,    19.54 tokens per second)
17.09.687.329 I slot print_timing: id  0 | task 410 |        eval time =  115209.38 ms /   256 tokens (  450.04 ms per token,     2.22 tokens per second)
17.09.687.330 I slot print_timing: id  0 | task 410 |       total time =  339845.23 ms /  4646 tokens
17.09.687.331 I slot print_timing: id  0 | task 410 |    graphs reused =        641
17.09.687.583 I slot      release: id  0 | task 410 | stop processing: n_tokens = 4698, truncated = 0
17.09.797.070 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1029615231
17.09.959.196 I slot launch_slot_: id  0 | task 675 | processing task, is_child = 0
17.35.552.507 I slot print_timing: id  0 | task 675 | prompt processing, n_tokens =    512, progress = 0.13, t =  25.59 s / 20.01 tokens per second
18.01.819.613 I slot print_timing: id  0 | task 675 | prompt processing, n_tokens =   1024, progress = 0.23, t =  51.86 s / 19.75 tokens per second
18.38.730.124 I slot print_timing: id  0 | task 675 | prompt processing, n_tokens =   1536, progress = 0.33, t =  88.77 s / 17.30 tokens per second
19.12.181.493 I slot print_timing: id  0 | task 675 | prompt processing, n_tokens =   2048, progress = 0.43, t = 122.22 s / 16.76 tokens per second
19.43.258.144 I slot print_timing: id  0 | task 675 | prompt processing, n_tokens =   2560, progress = 0.53, t = 153.30 s / 16.70 tokens per second
20.13.125.556 I slot print_timing: id  0 | task 675 | prompt processing, n_tokens =   3072, progress = 0.64, t = 183.17 s / 16.77 tokens per second
20.48.352.254 I slot print_timing: id  0 | task 675 | prompt processing, n_tokens =   3584, progress = 0.74, t = 218.39 s / 16.41 tokens per second
21.28.425.291 I slot print_timing: id  0 | task 675 | prompt processing, n_tokens =   4096, progress = 0.84, t = 258.47 s / 15.85 tokens per second
