
=== llama-server session started 2026-07-16T21:15:53+00:00 ===
0.00.079.071 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.079.273 I srv          init: The UI is disabled
0.00.079.280 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.079.481 W srv  llama_server: -----------------
0.00.079.489 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.079.489 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.079.490 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.079.491 W srv  llama_server: -----------------
0.00.082.129 I srv    load_model: loading model 'C:\Users\saman\AppData\Local\Temp\ta_v2_backend_probe_b10046\models\Qwen3-8B-Q4_K_M.gguf'
0.00.545.173 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.05.677.355 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.05.685.775 I srv  llama_server: model loaded
0.05.685.788 I srv  llama_server: listening on http://127.0.0.1:18092
1.14.782.868 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.14.782.943 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.19.234.220 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    512, progress = 0.19, t =   4.45 s / 115.02 tokens per second
1.25.024.682 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1024, progress = 0.37, t =  10.24 s / 99.98 tokens per second
1.32.481.435 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1536, progress = 0.56, t =  17.70 s / 86.79 tokens per second
1.41.600.843 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.74, t =  26.82 s / 76.37 tokens per second
1.56.701.452 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2560, progress = 0.93, t =  41.92 s / 61.07 tokens per second
2.17.719.807 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =   6.06 t/s, tg_3s =   6.06 t/s
2.20.813.825 I slot print_timing: id  0 | task 0 | n_decoded =    116, tg =   5.92 t/s, tg_3s =   5.17 t/s
2.23.894.788 I slot print_timing: id  0 | task 0 | n_decoded =    132, tg =   5.82 t/s, tg_3s =   5.19 t/s
2.27.022.586 I slot print_timing: id  0 | task 0 | n_decoded =    148, tg =   5.74 t/s, tg_3s =   5.12 t/s
2.29.351.473 I slot print_timing: id  0 | task 0 | prompt eval time =   46438.21 ms /  2766 tokens (   16.79 ms per token,    59.56 tokens per second)
2.29.351.483 I slot print_timing: id  0 | task 0 |        eval time =   28130.23 ms /   163 tokens (  172.58 ms per token,     5.79 tokens per second)
2.29.351.484 I slot print_timing: id  0 | task 0 |       total time =   74568.44 ms /  2929 tokens
2.29.351.485 I slot print_timing: id  0 | task 0 |    graphs reused =        161
2.29.351.639 I slot      release: id  0 | task 0 | stop processing: n_tokens = 2928, truncated = 0
2.29.439.878 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 149276049
2.29.528.027 I slot launch_slot_: id  0 | task 169 | processing task, is_child = 0
2.36.283.542 I slot print_timing: id  0 | task 169 | prompt processing, n_tokens =    512, progress = 0.22, t =   6.76 s / 75.79 tokens per second
2.49.269.916 I slot print_timing: id  0 | task 169 | prompt processing, n_tokens =   1024, progress = 0.39, t =  19.74 s / 51.87 tokens per second
3.01.487.428 I slot print_timing: id  0 | task 169 | prompt processing, n_tokens =   1536, progress = 0.57, t =  31.96 s / 48.06 tokens per second
3.19.357.015 I slot print_timing: id  0 | task 169 | prompt processing, n_tokens =   2048, progress = 0.75, t =  49.83 s / 41.10 tokens per second
3.33.104.691 I slot print_timing: id  0 | task 169 | prompt processing, n_tokens =   2560, progress = 0.92, t =  63.58 s / 40.27 tokens per second
3.57.805.040 I slot print_timing: id  0 | task 169 | n_decoded =    100, tg =   7.43 t/s, tg_3s =   7.43 t/s
4.00.829.071 I slot print_timing: id  0 | task 169 | n_decoded =    119, tg =   7.22 t/s, tg_3s =   6.28 t/s
4.03.951.356 I slot print_timing: id  0 | task 169 | n_decoded =    138, tg =   7.04 t/s, tg_3s =   6.09 t/s
4.06.996.582 I slot print_timing: id  0 | task 169 | n_decoded =    156, tg =   6.89 t/s, tg_3s =   5.91 t/s
4.10.133.227 I slot print_timing: id  0 | task 169 | n_decoded =    175, tg =   6.79 t/s, tg_3s =   6.06 t/s
4.13.216.895 I slot print_timing: id  0 | task 169 | n_decoded =    194, tg =   6.72 t/s, tg_3s =   6.16 t/s
4.14.340.959 I slot print_timing: id  0 | task 169 | prompt eval time =   74820.12 ms /  2790 tokens (   26.82 ms per token,    37.29 tokens per second)
4.14.340.970 I slot print_timing: id  0 | task 169 |        eval time =   29992.74 ms /   201 tokens (  149.22 ms per token,     6.70 tokens per second)
4.14.340.971 I slot print_timing: id  0 | task 169 |       total time =  104812.86 ms /  2991 tokens
4.14.340.972 I slot print_timing: id  0 | task 169 |    graphs reused =        359
4.14.341.155 I slot      release: id  0 | task 169 | stop processing: n_tokens = 3115, truncated = 0
4.14.424.535 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 254265565
4.14.520.252 I slot launch_slot_: id  0 | task 376 | processing task, is_child = 0
4.21.356.775 I slot print_timing: id  0 | task 376 | prompt processing, n_tokens =    512, progress = 0.21, t =   6.84 s / 74.89 tokens per second
4.39.935.820 I slot print_timing: id  0 | task 376 | prompt processing, n_tokens =   1024, progress = 0.39, t =  25.42 s / 40.29 tokens per second
4.51.204.596 I slot print_timing: id  0 | task 376 | prompt processing, n_tokens =   1536, progress = 0.58, t =  36.68 s / 41.87 tokens per second
5.09.953.116 I slot print_timing: id  0 | task 376 | prompt processing, n_tokens =   2048, progress = 0.77, t =  55.43 s / 36.95 tokens per second
5.22.229.254 I slot print_timing: id  0 | task 376 | prompt processing, n_tokens =   2560, progress = 0.96, t =  67.71 s / 37.81 tokens per second
5.48.589.792 I slot print_timing: id  0 | task 376 | n_decoded =    100, tg =   5.79 t/s, tg_3s =   5.79 t/s
5.51.705.367 I slot print_timing: id  0 | task 376 | n_decoded =    119, tg =   5.84 t/s, tg_3s =   6.10 t/s
5.54.794.991 I slot print_timing: id  0 | task 376 | n_decoded =    138, tg =   5.88 t/s, tg_3s =   6.15 t/s
5.57.800.403 I slot print_timing: id  0 | task 376 | n_decoded =    156, tg =   5.89 t/s, tg_3s =   5.99 t/s
6.00.877.700 I slot print_timing: id  0 | task 376 | n_decoded =    175, tg =   5.92 t/s, tg_3s =   6.17 t/s
6.03.909.120 I slot print_timing: id  0 | task 376 | n_decoded =    193, tg =   5.92 t/s, tg_3s =   5.94 t/s
6.06.974.589 I slot print_timing: id  0 | task 376 | n_decoded =    211, tg =   5.92 t/s, tg_3s =   5.87 t/s
6.10.138.625 I slot print_timing: id  0 | task 376 | n_decoded =    230, tg =   5.93 t/s, tg_3s =   6.00 t/s
6.11.978.342 I slot print_timing: id  0 | task 376 | prompt eval time =   76807.60 ms /  2675 tokens (   28.71 ms per token,    34.83 tokens per second)
6.11.978.353 I slot print_timing: id  0 | task 376 |        eval time =   40650.43 ms /   241 tokens (  168.67 ms per token,     5.93 tokens per second)
6.11.978.355 I slot print_timing: id  0 | task 376 |       total time =  117458.04 ms /  2916 tokens
6.11.978.356 I slot print_timing: id  0 | task 376 |    graphs reused =        597
6.11.978.536 I slot      release: id  0 | task 376 | stop processing: n_tokens = 2968, truncated = 0
6.12.086.345 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 371902952
6.12.195.604 I slot launch_slot_: id  0 | task 623 | processing task, is_child = 0
6.22.735.409 I slot print_timing: id  0 | task 623 | prompt processing, n_tokens =    512, progress = 0.20, t =  10.54 s / 48.58 tokens per second
6.35.623.069 I slot print_timing: id  0 | task 623 | prompt processing, n_tokens =   1024, progress = 0.36, t =  23.43 s / 43.71 tokens per second
6.50.266.756 I slot print_timing: id  0 | task 623 | prompt processing, n_tokens =   1536, progress = 0.52, t =  38.07 s / 40.35 tokens per second
7.06.260.846 I slot print_timing: id  0 | task 623 | prompt processing, n_tokens =   2048, progress = 0.68, t =  54.07 s / 37.88 tokens per second
7.21.444.090 I slot print_timing: id  0 | task 623 | prompt processing, n_tokens =   2560, progress = 0.84, t =  69.25 s / 36.97 tokens per second
7.58.154.592 I slot print_timing: id  0 | task 623 | n_decoded =    100, tg =   5.16 t/s, tg_3s =   5.16 t/s
8.01.187.188 I slot print_timing: id  0 | task 623 | n_decoded =    116, tg =   5.18 t/s, tg_3s =   5.28 t/s
8.04.282.255 I slot print_timing: id  0 | task 623 | n_decoded =    133, tg =   5.22 t/s, tg_3s =   5.49 t/s
8.07.326.265 I slot print_timing: id  0 | task 623 | n_decoded =    149, tg =   5.22 t/s, tg_3s =   5.26 t/s
8.10.434.610 I slot print_timing: id  0 | task 623 | n_decoded =    165, tg =   5.21 t/s, tg_3s =   5.15 t/s
8.13.545.071 I slot print_timing: id  0 | task 623 | n_decoded =    180, tg =   5.18 t/s, tg_3s =   4.82 t/s
8.16.654.604 I slot print_timing: id  0 | task 623 | n_decoded =    195, tg =   5.15 t/s, tg_3s =   4.82 t/s
8.19.787.491 I slot print_timing: id  0 | task 623 | n_decoded =    210, tg =   5.12 t/s, tg_3s =   4.79 t/s
8.22.799.309 I slot print_timing: id  0 | task 623 | n_decoded =    222, tg =   5.04 t/s, tg_3s =   3.98 t/s
8.25.961.772 I slot print_timing: id  0 | task 623 | n_decoded =    235, tg =   4.98 t/s, tg_3s =   4.11 t/s
8.29.094.419 I slot print_timing: id  0 | task 623 | n_decoded =    250, tg =   4.97 t/s, tg_3s =   4.79 t/s
8.32.221.557 I slot print_timing: id  0 | task 623 | n_decoded =    264, tg =   4.94 t/s, tg_3s =   4.48 t/s
8.35.432.272 I slot print_timing: id  0 | task 623 | n_decoded =    278, tg =   4.91 t/s, tg_3s =   4.36 t/s
8.38.559.687 I slot print_timing: id  0 | task 623 | n_decoded =    293, tg =   4.90 t/s, tg_3s =   4.80 t/s
8.41.496.302 I slot print_timing: id  0 | task 623 | prompt eval time =   86596.88 ms /  3068 tokens (   28.23 ms per token,    35.43 tokens per second)
8.41.496.326 I slot print_timing: id  0 | task 623 |        eval time =   62703.76 ms /   306 tokens (  204.91 ms per token,     4.88 tokens per second)
8.41.496.328 I slot print_timing: id  0 | task 623 |       total time =  149300.64 ms /  3374 tokens
8.41.496.329 I slot print_timing: id  0 | task 623 |    graphs reused =        900
8.41.496.543 I slot      release: id  0 | task 623 | stop processing: n_tokens = 3499, truncated = 0
8.41.648.407 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 521420960
8.41.788.800 I slot launch_slot_: id  0 | task 935 | processing task, is_child = 0
8.54.663.724 I slot print_timing: id  0 | task 935 | prompt processing, n_tokens =    512, progress = 0.21, t =  12.87 s / 39.77 tokens per second
9.07.370.066 I slot print_timing: id  0 | task 935 | prompt processing, n_tokens =   1024, progress = 0.39, t =  25.58 s / 40.03 tokens per second
9.21.076.820 I slot print_timing: id  0 | task 935 | prompt processing, n_tokens =   1536, progress = 0.58, t =  39.29 s / 39.10 tokens per second
9.37.865.411 I slot print_timing: id  0 | task 935 | prompt processing, n_tokens =   2048, progress = 0.76, t =  56.08 s / 36.52 tokens per second
9.56.531.319 I slot print_timing: id  0 | task 935 | prompt processing, n_tokens =   2560, progress = 0.95, t =  74.74 s / 34.25 tokens per second
10.24.561.910 I slot print_timing: id  0 | task 935 | n_decoded =    100, tg =   4.78 t/s, tg_3s =   4.78 t/s
10.27.598.713 I slot print_timing: id  0 | task 935 | n_decoded =    114, tg =   4.76 t/s, tg_3s =   4.61 t/s
10.30.631.889 I slot print_timing: id  0 | task 935 | n_decoded =    131, tg =   4.86 t/s, tg_3s =   5.60 t/s
10.33.658.385 I slot print_timing: id  0 | task 935 | n_decoded =    148, tg =   4.93 t/s, tg_3s =   5.62 t/s
10.36.688.653 I slot print_timing: id  0 | task 935 | n_decoded =    164, tg =   4.96 t/s, tg_3s =   5.28 t/s
10.39.695.213 I slot print_timing: id  0 | task 935 | n_decoded =    180, tg =   4.99 t/s, tg_3s =   5.32 t/s
10.42.804.523 I slot print_timing: id  0 | task 935 | n_decoded =    197, tg =   5.03 t/s, tg_3s =   5.47 t/s
10.45.947.609 I slot print_timing: id  0 | task 935 | prompt eval time =   81860.88 ms /  2694 tokens (   30.39 ms per token,    32.91 tokens per second)
10.45.947.619 I slot print_timing: id  0 | task 935 |        eval time =   42297.87 ms /   215 tokens (  196.73 ms per token,     5.08 tokens per second)
10.45.947.620 I slot print_timing: id  0 | task 935 |       total time =  124158.75 ms /  2909 tokens
10.45.947.621 I slot print_timing: id  0 | task 935 |    graphs reused =       1112
10.45.947.796 I slot      release: id  0 | task 935 | stop processing: n_tokens = 2961, truncated = 0
10.46.045.311 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 645872211
10.46.172.724 I slot launch_slot_: id  0 | task 1156 | processing task, is_child = 0
10.54.780.291 I slot print_timing: id  0 | task 1156 | prompt processing, n_tokens =    512, progress = 0.20, t =   8.61 s / 59.48 tokens per second
11.09.398.993 I slot print_timing: id  0 | task 1156 | prompt processing, n_tokens =   1024, progress = 0.38, t =  23.23 s / 44.09 tokens per second
11.24.334.946 I slot print_timing: id  0 | task 1156 | prompt processing, n_tokens =   1536, progress = 0.56, t =  38.16 s / 40.25 tokens per second
11.37.565.893 I slot print_timing: id  0 | task 1156 | prompt processing, n_tokens =   2048, progress = 0.74, t =  51.39 s / 39.85 tokens per second
11.55.588.218 I slot print_timing: id  0 | task 1156 | prompt processing, n_tokens =   2560, progress = 0.92, t =  69.42 s / 36.88 tokens per second
12.23.281.993 I slot print_timing: id  0 | task 1156 | n_decoded =    100, tg =   4.60 t/s, tg_3s =   4.60 t/s
12.26.420.782 I slot print_timing: id  0 | task 1156 | n_decoded =    118, tg =   4.74 t/s, tg_3s =   5.73 t/s
12.29.570.693 I slot print_timing: id  0 | task 1156 | n_decoded =    137, tg =   4.89 t/s, tg_3s =   6.03 t/s
12.32.669.028 I slot print_timing: id  0 | task 1156 | n_decoded =    154, tg =   4.95 t/s, tg_3s =   5.49 t/s
12.35.798.889 I slot print_timing: id  0 | task 1156 | n_decoded =    172, tg =   5.02 t/s, tg_3s =   5.75 t/s
12.38.906.337 I slot print_timing: id  0 | task 1156 | n_decoded =    189, tg =   5.06 t/s, tg_3s =   5.47 t/s
12.42.053.169 I slot print_timing: id  0 | task 1156 | n_decoded =    206, tg =   5.08 t/s, tg_3s =   5.40 t/s
