
=== llama-server session started 2026-07-17T03:47:33+00:00 ===
0.00.067.934 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.068.033 I srv          init: The UI is disabled
0.00.068.034 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.068.145 W srv  llama_server: -----------------
0.00.068.147 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.068.147 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.068.147 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.068.148 W srv  llama_server: -----------------
0.00.081.941 I srv    load_model: loading model 'C:\Users\saman\AppData\Local\Temp\ta_v2_backend_probe_b10046\models\Qwen3-8B-Q4_K_M.gguf'
0.00.563.475 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.05.363.244 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.05.371.420 I srv  llama_server: model loaded
0.05.371.429 I srv  llama_server: listening on http://127.0.0.1:18092
0.05.463.249 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.05.463.332 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.10.080.126 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    512, progress = 0.11, t =   4.62 s / 110.90 tokens per second
0.16.115.757 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1024, progress = 0.23, t =  10.65 s / 96.13 tokens per second
0.26.751.303 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1536, progress = 0.34, t =  21.29 s / 72.15 tokens per second
0.37.427.588 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.45, t =  31.96 s / 64.07 tokens per second
0.54.720.217 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2560, progress = 0.56, t =  49.26 s / 51.97 tokens per second
1.31.217.179 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3072, progress = 0.68, t =  85.75 s / 35.82 tokens per second
1.55.985.629 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3584, progress = 0.79, t = 110.52 s / 32.43 tokens per second
2.15.953.711 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.90, t = 130.49 s / 31.39 tokens per second
3.17.610.659 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =   2.90 t/s, tg_3s =   2.90 t/s
3.20.784.212 I slot print_timing: id  0 | task 0 | n_decoded =    110, tg =   2.92 t/s, tg_3s =   3.15 t/s
3.23.875.337 I slot print_timing: id  0 | task 0 | n_decoded =    119, tg =   2.92 t/s, tg_3s =   2.91 t/s
3.27.006.347 I slot print_timing: id  0 | task 0 | n_decoded =    128, tg =   2.92 t/s, tg_3s =   2.87 t/s
3.30.226.933 I slot print_timing: id  0 | task 0 | n_decoded =    138, tg =   2.93 t/s, tg_3s =   3.11 t/s
3.33.229.972 I slot print_timing: id  0 | task 0 | n_decoded =    148, tg =   2.95 t/s, tg_3s =   3.33 t/s
3.36.485.652 I slot print_timing: id  0 | task 0 | n_decoded =    159, tg =   2.98 t/s, tg_3s =   3.38 t/s
3.39.615.330 I slot print_timing: id  0 | task 0 | n_decoded =    170, tg =   3.01 t/s, tg_3s =   3.51 t/s
3.42.928.740 I slot print_timing: id  0 | task 0 | n_decoded =    181, tg =   3.03 t/s, tg_3s =   3.32 t/s
3.43.255.970 I slot print_timing: id  0 | task 0 | prompt eval time =  157670.40 ms /  4548 tokens (   34.67 ms per token,    28.84 tokens per second)
3.43.255.979 I slot print_timing: id  0 | task 0 |        eval time =   60122.18 ms /   182 tokens (  330.34 ms per token,     3.03 tokens per second)
3.43.255.980 I slot print_timing: id  0 | task 0 |       total time =  217792.58 ms /  4730 tokens
3.43.255.982 I slot print_timing: id  0 | task 0 |    graphs reused =        180
3.43.256.549 I slot      release: id  0 | task 0 | stop processing: n_tokens = 4729, truncated = 0
3.43.424.593 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 223190857
3.43.683.107 I slot launch_slot_: id  0 | task 191 | processing task, is_child = 0
3.55.062.937 I slot print_timing: id  0 | task 191 | prompt processing, n_tokens =    512, progress = 0.14, t =  11.38 s / 44.99 tokens per second
4.16.790.806 I slot print_timing: id  0 | task 191 | prompt processing, n_tokens =   1024, progress = 0.25, t =  33.11 s / 30.93 tokens per second
4.39.040.853 I slot print_timing: id  0 | task 191 | prompt processing, n_tokens =   1536, progress = 0.36, t =  55.36 s / 27.75 tokens per second
4.51.626.675 I slot print_timing: id  0 | task 191 | prompt processing, n_tokens =   2048, progress = 0.47, t =  67.94 s / 30.14 tokens per second
5.19.834.379 I slot print_timing: id  0 | task 191 | prompt processing, n_tokens =   2560, progress = 0.58, t =  96.15 s / 26.62 tokens per second
5.36.660.241 I slot print_timing: id  0 | task 191 | prompt processing, n_tokens =   3072, progress = 0.69, t = 112.98 s / 27.19 tokens per second
6.01.013.338 I slot print_timing: id  0 | task 191 | prompt processing, n_tokens =   3584, progress = 0.80, t = 137.33 s / 26.10 tokens per second
6.20.829.481 I slot print_timing: id  0 | task 191 | prompt processing, n_tokens =   4096, progress = 0.91, t = 157.15 s / 26.06 tokens per second
7.21.779.403 I slot print_timing: id  0 | task 191 | n_decoded =    100, tg =   3.17 t/s, tg_3s =   3.17 t/s
7.25.098.128 I slot print_timing: id  0 | task 191 | n_decoded =    111, tg =   3.19 t/s, tg_3s =   3.31 t/s
7.28.437.996 I slot print_timing: id  0 | task 191 | n_decoded =    122, tg =   3.20 t/s, tg_3s =   3.29 t/s
7.31.459.420 I slot print_timing: id  0 | task 191 | n_decoded =    133, tg =   3.23 t/s, tg_3s =   3.64 t/s
7.34.466.709 I slot print_timing: id  0 | task 191 | n_decoded =    144, tg =   3.26 t/s, tg_3s =   3.66 t/s
7.37.620.777 I slot print_timing: id  0 | task 191 | n_decoded =    155, tg =   3.27 t/s, tg_3s =   3.49 t/s
7.39.499.637 I slot print_timing: id  0 | task 191 | prompt eval time =  186598.94 ms /  4531 tokens (   41.18 ms per token,    24.28 tokens per second)
7.39.499.649 I slot print_timing: id  0 | task 191 |        eval time =   49217.51 ms /   161 tokens (  305.70 ms per token,     3.27 tokens per second)
7.39.499.650 I slot print_timing: id  0 | task 191 |       total time =  235816.46 ms /  4692 tokens
7.39.499.651 I slot print_timing: id  0 | task 191 |    graphs reused =        339
