
=== llama-server session started 2026-07-16T21:49:13+00:00 ===
0.00.064.678 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.064.818 I srv          init: The UI is disabled
0.00.064.824 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.064.973 W srv  llama_server: -----------------
0.00.064.979 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.064.979 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.064.980 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.064.980 W srv  llama_server: -----------------
0.00.079.647 I srv    load_model: loading model 'C:\Users\saman\AppData\Local\Temp\ta_v2_backend_probe_b10046\models\Qwen3-8B-Q4_K_M.gguf'
0.00.589.179 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.05.451.528 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.05.459.707 I srv  llama_server: model loaded
0.05.459.716 I srv  llama_server: listening on http://127.0.0.1:18092
0.05.593.949 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.05.594.034 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.10.602.361 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    512, progress = 0.11, t =   5.01 s / 102.23 tokens per second
0.24.189.634 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1024, progress = 0.23, t =  18.60 s / 55.07 tokens per second
0.36.706.986 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1536, progress = 0.34, t =  31.11 s / 49.37 tokens per second
0.56.053.606 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.45, t =  50.46 s / 40.59 tokens per second
1.07.383.683 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2560, progress = 0.56, t =  61.79 s / 41.43 tokens per second
1.26.242.346 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3072, progress = 0.68, t =  80.65 s / 38.09 tokens per second
1.44.746.262 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3584, progress = 0.79, t =  99.15 s / 36.15 tokens per second
2.01.519.906 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.90, t = 115.93 s / 35.33 tokens per second
2.42.100.651 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =   4.06 t/s, tg_3s =   4.06 t/s
2.45.264.912 I slot print_timing: id  0 | task 0 | n_decoded =    113, tg =   4.06 t/s, tg_3s =   4.11 t/s
2.48.414.559 I slot print_timing: id  0 | task 0 | n_decoded =    126, tg =   4.07 t/s, tg_3s =   4.13 t/s
2.51.500.475 I slot print_timing: id  0 | task 0 | n_decoded =    139, tg =   4.08 t/s, tg_3s =   4.21 t/s
2.54.740.634 I slot print_timing: id  0 | task 0 | n_decoded =    152, tg =   4.08 t/s, tg_3s =   4.01 t/s
2.57.400.647 I slot print_timing: id  0 | task 0 | prompt eval time =  131870.57 ms /  4548 tokens (   29.00 ms per token,    34.49 tokens per second)
2.57.400.655 I slot print_timing: id  0 | task 0 |        eval time =   39935.99 ms /   165 tokens (  242.04 ms per token,     4.13 tokens per second)
2.57.400.657 I slot print_timing: id  0 | task 0 |       total time =  171806.57 ms /  4713 tokens
2.57.400.657 I slot print_timing: id  0 | task 0 |    graphs reused =        163
2.57.400.863 I slot      release: id  0 | task 0 | stop processing: n_tokens = 4712, truncated = 0
2.57.474.461 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 177338698
2.57.595.928 I slot launch_slot_: id  0 | task 174 | processing task, is_child = 0
3.03.424.999 I slot print_timing: id  0 | task 174 | prompt processing, n_tokens =    512, progress = 0.14, t =   5.83 s / 87.84 tokens per second
3.20.378.694 I slot print_timing: id  0 | task 174 | prompt processing, n_tokens =   1024, progress = 0.25, t =  22.78 s / 44.95 tokens per second
3.28.968.626 I slot print_timing: id  0 | task 174 | prompt processing, n_tokens =   1536, progress = 0.36, t =  31.37 s / 48.96 tokens per second
3.49.639.259 I slot print_timing: id  0 | task 174 | prompt processing, n_tokens =   2048, progress = 0.47, t =  52.04 s / 39.35 tokens per second
4.09.430.044 I slot print_timing: id  0 | task 174 | prompt processing, n_tokens =   2560, progress = 0.58, t =  71.83 s / 35.64 tokens per second
4.26.798.259 I slot print_timing: id  0 | task 174 | prompt processing, n_tokens =   3072, progress = 0.69, t =  89.20 s / 34.44 tokens per second
4.44.192.970 I slot print_timing: id  0 | task 174 | prompt processing, n_tokens =   3584, progress = 0.80, t = 106.60 s / 33.62 tokens per second
5.03.614.547 I slot print_timing: id  0 | task 174 | prompt processing, n_tokens =   4096, progress = 0.91, t = 126.02 s / 32.50 tokens per second
5.47.460.626 I slot print_timing: id  0 | task 174 | n_decoded =    100, tg =   4.04 t/s, tg_3s =   4.04 t/s
5.50.690.203 I slot print_timing: id  0 | task 174 | n_decoded =    113, tg =   4.04 t/s, tg_3s =   4.03 t/s
5.53.773.486 I slot print_timing: id  0 | task 174 | n_decoded =    125, tg =   4.02 t/s, tg_3s =   3.89 t/s
5.57.000.387 I slot print_timing: id  0 | task 174 | n_decoded =    138, tg =   4.02 t/s, tg_3s =   4.03 t/s
6.00.191.718 I slot print_timing: id  0 | task 174 | n_decoded =    151, tg =   4.03 t/s, tg_3s =   4.07 t/s
6.03.404.357 I slot print_timing: id  0 | task 174 | n_decoded =    163, tg =   4.00 t/s, tg_3s =   3.74 t/s
6.06.448.364 I slot print_timing: id  0 | task 174 | n_decoded =    174, tg =   3.98 t/s, tg_3s =   3.61 t/s
6.09.449.966 I slot print_timing: id  0 | task 174 | n_decoded =    185, tg =   3.96 t/s, tg_3s =   3.66 t/s
6.12.591.100 I slot print_timing: id  0 | task 174 | n_decoded =    197, tg =   3.95 t/s, tg_3s =   3.82 t/s
6.15.067.905 I slot print_timing: id  0 | task 174 | prompt eval time =  145101.86 ms /  4532 tokens (   32.02 ms per token,    31.23 tokens per second)
6.15.067.915 I slot print_timing: id  0 | task 174 |        eval time =   52370.03 ms /   206 tokens (  254.22 ms per token,     3.93 tokens per second)
6.15.067.916 I slot print_timing: id  0 | task 174 |       total time =  197471.89 ms /  4738 tokens
6.15.067.918 I slot print_timing: id  0 | task 174 |    graphs reused =        367
6.15.068.147 I slot      release: id  0 | task 174 | stop processing: n_tokens = 4862, truncated = 0
6.15.152.377 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 375005977
6.15.295.805 I slot launch_slot_: id  0 | task 389 | processing task, is_child = 0
6.21.081.942 I slot print_timing: id  0 | task 389 | prompt processing, n_tokens =    512, progress = 0.13, t =   5.79 s / 88.49 tokens per second
6.38.656.834 I slot print_timing: id  0 | task 389 | prompt processing, n_tokens =   1024, progress = 0.24, t =  23.36 s / 43.83 tokens per second
6.47.083.036 I slot print_timing: id  0 | task 389 | prompt processing, n_tokens =   1536, progress = 0.36, t =  31.79 s / 48.32 tokens per second
7.04.211.587 I slot print_timing: id  0 | task 389 | prompt processing, n_tokens =   2048, progress = 0.47, t =  48.92 s / 41.87 tokens per second
7.16.187.627 I slot print_timing: id  0 | task 389 | prompt processing, n_tokens =   2560, progress = 0.59, t =  60.89 s / 42.04 tokens per second
7.34.838.095 I slot print_timing: id  0 | task 389 | prompt processing, n_tokens =   3072, progress = 0.70, t =  79.54 s / 38.62 tokens per second
7.53.721.985 I slot print_timing: id  0 | task 389 | prompt processing, n_tokens =   3584, progress = 0.82, t =  98.43 s / 36.41 tokens per second
8.09.954.246 I slot print_timing: id  0 | task 389 | prompt processing, n_tokens =   4096, progress = 0.93, t = 114.66 s / 35.72 tokens per second
8.48.898.289 I slot print_timing: id  0 | task 389 | n_decoded =    100, tg =   4.26 t/s, tg_3s =   4.26 t/s
8.51.967.611 I slot print_timing: id  0 | task 389 | n_decoded =    113, tg =   4.26 t/s, tg_3s =   4.24 t/s
8.55.036.589 I slot print_timing: id  0 | task 389 | n_decoded =    126, tg =   4.25 t/s, tg_3s =   4.24 t/s
8.58.041.417 I slot print_timing: id  0 | task 389 | n_decoded =    138, tg =   4.23 t/s, tg_3s =   3.99 t/s
9.01.074.907 I slot print_timing: id  0 | task 389 | n_decoded =    150, tg =   4.21 t/s, tg_3s =   3.96 t/s
9.04.094.908 I slot print_timing: id  0 | task 389 | n_decoded =    162, tg =   4.19 t/s, tg_3s =   3.97 t/s
